date	text	rating	aspects	sentiment	aspects_pretty	entities	person	geopolitical area	date	cardinal number	quantity	group	event	money	percent	organization	time	ordinal number	location	product	work of art	facility
2022-07-22	Отличная елка. Всё на месте. К Новому году готовы.	star5	['елка']	['Positive']	елка	[{'text': 'Новому году', 'start': 30, 'end': 42, 'tokens': ['▁Новом', 'у', '▁году'], 'names': ['B-event', 'I-date', 'I-date'], 'filled': {'event', 'date'}}]							['Новому году']									
2022-07-19	Ёлочка шикарная! Собрали, проверили, разобрали) Всё на месте. Большое спасибо продавцу!	star5	['Ёлочка', 'продавцу']	['Positive', 'Positive']	Ёлочка, продавцу	[]																
2022-07-17	Ёлочка пришла все как заявленно все на месте подставка сразу проверили отличная , рекомендую, ёлочка огонь, на фото мы её не расправляли а просто проверили размер такой какой и ожидали у нас была такая ёлочка только размером поменьше 180 см мы ее сестре подарили а себе взяли вот эту побольше и очень рады, спасибо валберису	star5	['Ёлочка', 'подставка', 'размер', 'валберису']	['Positive', 'Positive', 'Positive', 'Positive']	Ёлочка, подставка, размер, валберису	[{'text': '180 см', 'start': 233, 'end': 240, 'tokens': ['▁180', '▁см'], 'names': ['B-quantity', 'I-quantity'], 'filled': {'quantity'}}]					['180 см']											
2022-07-10	Супер! Советую!	star5	[]	[]		[]																
2022-07-07	Ёлка из 3х частей,сборка не сложная, у нас не попалась ни одна проволока, все аккуратно сделано, все 4 ножки-лапки в комплекте. Взяли за 7335р(пока летом дешевле). Проверили и убрали в коробку до декабря(каробка целая, курьер-умничка) 	star5	['сборка', 'курьер']	['Neutral', 'Positive']	сборка, курьер	[{'text': '3х', 'start': 7, 'end': 10, 'tokens': ['▁3', 'х'], 'names': ['B-cardinal number', 'O'], 'filled': {'cardinal number'}}, {'text': '4', 'start': 100, 'end': 102, 'tokens': ['▁4'], 'names': ['B-cardinal number'], 'filled': {'cardinal number'}}, {'text': '7335р(пока', 'start': 136, 'end': 147, 'tokens': ['▁73', '35', 'р', '(', 'по', 'ка'], 'names': ['B-money', 'I-money', 'I-money', 'O', 'O', 'O'], 'filled': {'money'}}, {'text': 'летом', 'start': 147, 'end': 153, 'tokens': ['▁лет', 'ом'], 'names': ['B-date', 'O'], 'filled': {'date'}}, {'text': 'декабря(каробка', 'start': 195, 'end': 211, 'tokens': ['▁декабря', '(', 'ка', 'роб', 'ка'], 'names': ['B-date', 'O', 'O', 'O', 'O'], 'filled': {'date'}}]			['летом', 'декабря(каробка']	['3х', '4']				['7335р(пока']								
2022-07-05	Вернули в пользу литой ёлочки… 	star3	['л']	['Positive']	л	[]																
2022-06-29	Отличная елочка! Коробка пришла целая, елочку визуально осмотрела на наличие подставки, да и вообще-все ли в порядке. Видно, что пушистая, мягенькая👍Надеюсь очень, что при сборке на НГ мое восхищение не улетучится и все будет в порядке! Привезли прям через день после заказа, отдельное спасибо курьеру-очень вежлив и тактичен!👍Однозначно-и товар, и продавца рекомендую 👍👍👍	star5	['елочка', 'курьеру', 'продавца']	['Positive', 'Positive', 'Positive']	елочка, курьеру, продавца	[{'text': 'НГ', 'start': 181, 'end': 184, 'tokens': ['▁', 'НГ'], 'names': ['B-event', 'B-event'], 'filled': {'event'}}]							['НГ']									
2022-06-19	Пришла очень классная, нигде нет остроты, ничего не царапает, минусы, красятся руки и чуть сыпется	star5	[]	[]		[]																
2022-05-24	Елка просто нереальная!Очень красивая, пушистая и высокая. Даже расправлять не стали, очень много веток. Из минусов елка грязная, все руки черные были, ну и очень острая проволока, даже шрам на руке остался. Всем советую к покупке, но будьте осторожны при сборке	star5	['Елка']	['Positive']	Елка	[]																
2022-05-10	Очень красивая ёлочка пришла. Она просто шикарная. Давно о такой мечтала. Правда коробка пришла в ужасном состояние.	star5	['ёлочка', 'коробка']	['Positive', 'Negative']	ёлочка, коробка	[]																
2022-04-30	Шикарная, всегда о такой мечтали	star5	[]	[]		[]																
2022-04-05	Вау произошло!!! На фото наша ёлочка  просто собрана для проверки качества, веточки совсем немного отогнули, даже далеко не все. Если полностью все расправить будет обалденная. Всем заявленным характеристикам соответствует. Кто-то пишет, про острую проволоку,  что можно пораниться. Проволока есть, но она не видна, ее плотно закрывает материал из которого сделана крона. Я с дочкой 7 лет, отгибали веточки, чтобы распушить ёлку, все живы, никто не поранился. Не сыпалась при сборке. Мы очень довольны покупкой!!!	star5	['веточки', 'проволоку', 'материал']	['Neutral', 'Positive', 'Positive']	веточки, проволоку, материал	[{'text': '7 лет,', 'start': 382, 'end': 389, 'tokens': ['▁7', '▁лет', ','], 'names': ['B-date', 'I-date', 'O'], 'filled': {'date'}}]			['7 лет,']													
2022-04-02	Отличная ёлка! Сыпется немного, внутри ствол обклеен изолентой, но не видно из-за пушистых веток. Нужно как следует распушить!)	star5	['ёлка', 'ствол']	['Neutral', 'Neutral']	ёлка, ствол	[]																
2022-03-26	Нормальная елка, но острая проволока везде торчит ☹️	star4	['е']	['Positive']	е	[]																
2022-03-26	"Как сказали мои дети: ""Ожидание и реальность - это разные вещи"""	star3	[]	[]		[]																
2022-03-22	Очень давольны ёлочкой!	star5	['ёлочкой']	['Positive']	ёлочкой	[]																
2022-03-20	Ёлка отличная, жаль, что нужно было убирать после праздников	star5	['Ёлка']	['Positive']	Ёлка	[]																
2022-03-20	Ёлка очень красивая! Даже просто достав ее с коробки, видно какая она пушистая! Покупкой и быстрой доставкой довольны, спасибо!	star5	['Ёлка', 'доставкой']	['Positive', 'Positive']	Ёлка, доставкой	[]																
2022-03-03	Классная ёлка!все супер👍👍👍	star5	['ёлка']	['Positive']	ёлка	[]																
2022-03-01	Шикарная ёлочка, один минус - острая проволока на концах веток	star5	['ёлочка', 'проволока']	['Positive', 'Negative']	ёлочка, проволока	[{'text': 'один', 'start': 16, 'end': 21, 'tokens': ['▁один'], 'names': ['B-cardinal number'], 'filled': {'cardinal number'}}]				['один']												
2022-03-01	Хорошая ,но немного сыпется	star5	[]	[]		[]																
2022-02-17	Очень красивая елочка!!!	star5	['елочка']	['Positive']	елочка	[]																
2022-02-11	Хорошая ёлка.	star5	['ёлка']	['Positive']	ёлка	[]																
2022-02-09	Елка красивая, ровная, к внешнему виду претензий нет! Но если у вас дома животные-будьте предельно бдительны. Кошка пожевала кончики веток и у неё образовался отёк языка и гортани, пришлось прокалывать уколами несколько дней. 	star4	['Елка', 'Кошка']	['Positive', 'Negative']	Елка, Кошка	[{'text': 'несколько дней.', 'start': 209, 'end': 225, 'tokens': ['▁несколько', '▁дней', '.'], 'names': ['B-date', 'I-date', 'O'], 'filled': {'date'}}]			['несколько дней.']													
2022-02-08	Красота! Очень пышная, не могу на неё нарадоваться. Однозначно советую! Спасибо производителю за качественный товар, кстати упакована очень хорошо 👍	star5	['товар']	['Positive']	товар	[]																
2022-02-08	классная, высокая, пушистая, то что искала	star5	[]	[]		[]																
2022-02-07	Очень красивая ёлочка, пришла хорошо упакована, дома собрали, брака не обнаружили. Спасибо продавцу!	star5	['ёлочка', 'продавцу']	['Positive', 'Positive']	ёлочка, продавцу	[]																
2022-02-06	Ёлка конечно 🔥🔥🔥, не сколько не пожалела что купила её! Да пришла в ужасной упаковке, но она мне не нужна, да пришла без подставки,  но представитель быстро отправил мне почтой подставку, собрали! Всё супер!!! Главное правильно распушить веточки. Спасибо большое!!! Теперь под такую красивую ёлку, нужны красивые украшения!!! 🥰🥳🤩	star5	['упаковке', 'подставки']	['Negative', 'Positive']	упаковке, подставки	[]																
2022-02-05	Купила в июле, таксист долго смеялся... И не открывала до 30 декабря,а когда открыли и собрали.... Аааа! - сбылась моя давняя мечта - красивая, вот прям точь в точь что я хотела!!! Собрали быстро. А когда сокладывала обратно, поняла, что процентов на 30 не распушили ёлочку! СПАСИБИЩЕ!!!	star5	['таксист']	['Negative']	таксист	[{'text': 'июле,', 'start': 8, 'end': 14, 'tokens': ['▁', 'ию', 'ле', ','], 'names': ['B-date', 'B-date', 'I-date', 'O'], 'filled': {'date'}}, {'text': '30 декабря,а', 'start': 57, 'end': 70, 'tokens': ['▁30', '▁декабря', ',', 'а'], 'names': ['B-date', 'I-date', 'O', 'O'], 'filled': {'date'}}, {'text': '30', 'start': 250, 'end': 253, 'tokens': ['▁30'], 'names': ['I-percent'], 'filled': {'percent'}}]			['июле,', '30 декабря,а']						['30']							
2022-01-27	К сожалению обсыпается и иголочки и белая краска. Брала за 9тыс	star4	['краска']	['Negative']	краска	[]																
2022-01-27	Елка красивая! Но упаковочная коробка была разорвана. В пункте выдачи пришлось израсходовать весь скотч, чтоб соединить все разрывы на коробке. Не стала проверять комплектность на пункте выдачи. Об этом потом очень пожалела. Дома решили переложить елку в другую коробку. Вот тут и обнаружили некомплект: не обнаружили подставку для елки. Написала претензию. Ответа нет. Купила такую же елку, которая пришла в заводской упаковке, коробка целая. Хорошо, что отсутствие подножки обнаружили сейчас, а не перед празднованием очередного Нового года... Очень надеюсь, что вопрос решится ( 9900 рублей стоила...)	star2	['Елка', 'упаковочная коробка', 'скотч', 'подставку', 'подножки']	['Positive', 'Negative', 'Negative', 'Negative', 'Negative']	Елка, упаковочная коробка, скотч, подставку, подножки	[{'text': 'очередного Нового года...', 'start': 519, 'end': 545, 'tokens': ['▁очередно', 'го', '▁Ново', 'го', '▁года', '...'], 'names': ['B-event', 'I-event', 'B-event', 'I-event', 'I-event', 'O'], 'filled': {'event'}}, {'text': '9900 рублей', 'start': 581, 'end': 593, 'tokens': ['▁9', '900', '▁рублей'], 'names': ['B-money', 'I-money', 'I-money'], 'filled': {'money'}}]							['очередного Нового года...']	['9900 рублей']								
2022-01-22	Елка просто фантастика. Ни капли не пожалели, что купили. Все кто был в гостях делали комплименты ей. Ничего не сыпется. Собирается легко. Очень пушистая.  	star5	['Елка']	['Positive']	Елка	[{'text': 'Елка', 'start': 0, 'end': 4, 'tokens': ['▁Ел', 'ка'], 'names': ['B-person', 'O'], 'filled': {'person'}}]	['Елка']															
2022-01-19	Ёлка пушистая и красивая. Была отлично упакована. Украсила праздник. Спасибо производителю и вб.	star5	['Ёлка', 'вб']	['Positive', 'Positive']	Ёлка, вб	[]																
2022-01-18	Отличная ёлка! 	star5	['ёлка']	['Positive']	ёлка	[]																
2022-01-17	Елка не стоит своих денег, вся сыпиться постоянно грязь. И раз не соответствует.	star3	['Елка']	['Negative']	Елка	[{'text': 'Елка', 'start': 0, 'end': 4, 'tokens': ['▁Ел', 'ка'], 'names': ['B-person', 'O'], 'filled': {'person'}}]	['Елка']															
2022-01-16	Ёлка отличная!!! Боялась что она будет очень объемная к низу, но ничего, достаточно стройная! Но очень пушистая!!! Супер!!! Веток оооч много, устали их все расправлять))) немного сыпется, но не критично. Мы довольны	star5	['Ёлка', 'Веток']	['Positive', 'Neutral']	Ёлка, Веток	[]																
2022-01-13	Ёлка классная. Нисколько не пожалели. Всем рекомендуем.	star5	['Ёлка']	['Positive']	Ёлка	[]																
2022-01-13	Красивая. Пушистая. Не сыпется. Не пахнет. Легко собирается. 	star5	[]	[]		[]																
2022-01-09	Красивая елка. Спасибо производителю за качественный товар.	star5	['елка']	['Positive']	елка	[]																
2022-01-07	Ёлочка супер	star5	['Ёлочка']	['Positive']	Ёлочка	[{'text': 'Ёлочка', 'start': 0, 'end': 6, 'tokens': ['▁', 'Ё', 'ло', 'чка'], 'names': ['B-person', 'B-person', 'O', 'O'], 'filled': {'person'}}]	['Ёлочка']															
2022-01-06	Очень красивая. Пушистая, как на картинке. Пластиком не пахнет.	star5	[]	[]		[]																
2022-01-04	Спасибо, все хорошо	star5	[]	[]		[]																
2022-01-04	Отличная елочка !!! Полностью соответствует описанию ! 	star5	['елочка']	['Positive']	елочка	[]																
2022-01-03	Отличная ёлочка! Очень красиво смотрится!!	star5	['ёлочка']	['Positive']	ёлочка	[]																
2022-01-03	"Спасибо за отличную ёлочку!
 Очень довольны покупкой! Как живая, очень красивая! 
Без посторонних запахов, и произ-во Россия) 
Собирали из 3х частей, очень удобно, проволка внутри толстая. 
Нарядили елочку-красавиыу в себебристых цветах!!!"	star5	['ёлочку']	['Positive']	ёлочку	[{'text': 'Россия)', 'start': 117, 'end': 125, 'tokens': ['▁Россия', ')'], 'names': ['B-geopolitical area', 'O'], 'filled': {'geopolitical area'}}, {'text': '3х', 'start': 138, 'end': 141, 'tokens': ['▁3', 'х'], 'names': ['B-cardinal number', 'O'], 'filled': {'cardinal number'}}]		['Россия)']		['3х']												
2022-01-02	Отличная елка👍 пушистая красавица!	star5	['елка👍']	['Positive']	елка👍	[]																
2022-01-02	Шикарная ёлка!	star5	['ёлка']	['Positive']	ёлка	[]																
2022-01-01	Супер ёлочка!!! Спасибо 💋💋💋	star5	['ёлочка']	['Positive']	ёлочка	[]																
2022-01-01	Хорошая елка. Высокая и пушистая. Одна проблема - наклон. Она стоит не ровно из-за пластикового основания, в котором выбивается паз при установке. Думайте перед покупкой.	star4	['елка', 'наклон']	['Positive', 'Negative']	елка, наклон	[{'text': 'Одна', 'start': 33, 'end': 38, 'tokens': ['▁Одна'], 'names': ['B-cardinal number'], 'filled': {'cardinal number'}}]				['Одна']												
2021-12-30	Отличная елка. При сборке не много осыпались иголки и сломалась одна маленькая веточка, но это не критично.	star5	['елка', 'веточка']	['Positive', 'Negative']	елка, веточка	[]																
2021-12-30	"Шикарная ёлочка! Высокая, пушистая. Исполнилась моя давняя мечта)))
Простая в установке, устойчивая. Можно даже не наряжать)
Кто говорил, что ""кривая"", попробуйте покрутить середину и верхушку (ту часть, что вставляется в трубку ниже), чуть отклонялась верхушка в сторону, после небольшого поворота стала ровненькая. Спасибо большое производителю и WB за праздничное настроение! "	star5	['ёлочка', 'установке', 'верхушку']	['Positive', 'Positive', 'Positive']	ёлочка, установке, верхушку	[{'text': 'WB', 'start': 348, 'end': 351, 'tokens': ['▁', 'WB'], 'names': ['B-organization', 'B-organization'], 'filled': {'organization'}}]										['WB']						
2021-12-30	Ёлка просто супер.Очень пушистая красивая легко собирается.Семья в восторге.Спасибо производителю.	star5	['Ёлка']	['Positive']	Ёлка	[]																
2021-12-29	Красивая, качество хорошее, осыпалось немножко	star5	[]	[]		[]																
2021-12-29	Лепотаааа! Даже птичке понравилось)) тут даже игрушки вешать не надо))) Спасибо за ёлочку!!	star5	['птичке', 'ёлочку']	['Positive', 'Positive']	птичке, ёлочку	[]																
2021-12-29	Елочка красивая! Хотелось бы немного шире , но и так очень нравится! Спасибо! 	star5	['Елочка']	['Positive']	Елочка	[{'text': 'Елочка', 'start': 0, 'end': 6, 'tokens': ['▁Ел', 'очка'], 'names': ['B-person', 'O'], 'filled': {'person'}}]	['Елочка']															
2021-12-29	Отличная ёлка	star5	['ёлка']	['Positive']	ёлка	[]																
2021-12-29	Елка красивая, но кривая	star3	['Елка']	['Neutral']	Елка	[{'text': 'Елка', 'start': 0, 'end': 4, 'tokens': ['▁Ел', 'ка'], 'names': ['B-person', 'O'], 'filled': {'person'}}]	['Елка']															
2021-12-28	Шикарная елочка 	star5	['елочка']	['Positive']	елочка	[]																
2021-12-28	Хорошая елка за свои деньги. Хорошо распушить и расправить нужно и будет очень красивая	star5	['елка']	['Positive']	елка	[]																
2021-12-28	Шикарная елка	star5	['елка']	['Positive']	елка	[]																
2021-12-28	Замечательная, пушистая и красивая елка. Только нужно аккуратно собирать. Кое-где встречается острая проволока. Большое спасибо)	star5	['елка']	['Positive']	елка	[]																
2021-12-28	Вместо 4-х ножек для подставки положили только 3. Использовать невозможно!	star1	['подставки']	['Negative']	подставки	[{'text': '4-х', 'start': 6, 'end': 10, 'tokens': ['▁4-', 'х'], 'names': ['B-cardinal number', 'I-cardinal number'], 'filled': {'cardinal number'}}, {'text': '3.', 'start': 46, 'end': 49, 'tokens': ['▁3.'], 'names': ['B-cardinal number'], 'filled': {'cardinal number'}}]				['4-х', '3.']												
2021-12-28	Ёлочка шикарная, но снимаю одну звезду  - сломана была одна ветка и при сборке сильно царапала. Возврат не стали делать, заказали впритык до Нового года.  В целом довольна покупкой. Рекомендую	star4	['Ёлочка']	['Positive']	Ёлочка	[{'text': 'одну', 'start': 26, 'end': 31, 'tokens': ['▁одну'], 'names': ['B-cardinal number'], 'filled': {'cardinal number'}}, {'text': 'одна', 'start': 54, 'end': 59, 'tokens': ['▁одна'], 'names': ['B-cardinal number'], 'filled': {'cardinal number'}}, {'text': 'Нового года.', 'start': 140, 'end': 153, 'tokens': ['▁Ново', 'го', '▁года', '.'], 'names': ['B-event', 'I-event', 'I-event', 'O'], 'filled': {'event'}}]				['одну', 'одна']			['Нового года.']									
2021-12-28	Вот что получилось	star5	[]	[]		[]																
2022-08-20	Клёвая ёлка. Упакована в 2 коробки, состоит из 3 частей. Всё сделано качественно	star5	['ёлка']	['Positive']	ёлка	[{'text': '2', 'start': 24, 'end': 26, 'tokens': ['▁2'], 'names': ['B-cardinal number'], 'filled': {'cardinal number'}}, {'text': '3', 'start': 46, 'end': 48, 'tokens': ['▁3'], 'names': ['B-cardinal number'], 'filled': {'cardinal number'}}]				['2', '3']												
2022-08-02	Красивая и пушастая елка! Только потом поняли,что литые отростки не расправили как нужно, в разные стороны. Уж очень хотелось посмотреть скорее на нее в собранном виде.	star5	['елка']	['Positive']	елка	[]																
2022-07-25	Супер ёлка. Соответствует описанию. Качество👍.	star5	['ёлка']	['Positive']	ёлка	[]																
2022-07-12	Все супер,красивая елка,мечтали о такой ,упаковка целая,все пришло в срок.Этот Новый год будет волшебный 😌	star5	['елка', 'упаковка', 'Новый год']	['Positive', 'Positive', 'Positive']	елка, упаковка, Новый год	[{'text': 'Новый год', 'start': 78, 'end': 88, 'tokens': ['▁Новый', '▁год'], 'names': ['I-event', 'I-event'], 'filled': {'event'}}]							['Новый год']									
2022-06-27	Супер ёлка! Все целое. Инструкция есть) Хотя на мой взгляд все просто и без инструкции)	star5	['ёлка', 'Инструкция']	['Positive', 'Neutral']	ёлка, Инструкция	[]																
2022-02-13	Ёлка отличная. Красивая. Когда получал, сначала расстроился. Упаковка убита в хлам. Хотел уже оформить отказ, но решил все-же забрать. Дома распаковал, собрал... оказалось вме в комплекте, не повреждено. Вобщем норм. В конце концов не упаковку наряжать, а ёлку. 🙂🎅 Надеюсь долго будет нас радовать.	star5	['Упаковка']	['Negative']	Упаковка	[]																
2021-12-29	Ёлка отличная 	star5	['Ёлка']	['Positive']	Ёлка	[{'text': 'Ёлка', 'start': 0, 'end': 4, 'tokens': ['▁', 'Ё', 'лка'], 'names': ['B-person', 'B-person', 'O'], 'filled': {'person'}}]	['Ёлка']															
2021-12-28	"Дождались красавицу🎄!!!
Доставка была 2 недели.
Ёлочка просто красотка, я в восторге."	star5	['Ёлочка']	['Positive']	Ёлочка	[{'text': '2 недели.', 'start': 37, 'end': 47, 'tokens': ['▁2', '▁недели', '.'], 'names': ['B-date', 'I-date', 'O'], 'filled': {'date'}}]			['2 недели.']													
2021-12-24	Елочка красавица, как настоящая!!Собирается быстро. Покупкой очень довольны. 	star5	['Елочка']	['Positive']	Елочка	[{'text': 'Елочка', 'start': 0, 'end': 6, 'tokens': ['▁Ел', 'очка'], 'names': ['B-person', 'O'], 'filled': {'person'}}]	['Елочка']															
2021-12-21	Давно мечтала о такой красавице: эффектная, нарядная, пышная, феерическая! Семья довольна! Собирается легко. С наступающим новым годом! Ура!	star5	['Семья']	['Positive']	Семья	[{'text': 'наступающим новым', 'start': 110, 'end': 128, 'tokens': ['▁наступа', 'ющим', '▁новым'], 'names': ['B-date', 'O', 'I-date'], 'filled': {'date'}}, {'text': 'годом!', 'start': 128, 'end': 135, 'tokens': ['▁год', 'ом', '!'], 'names': ['I-event', 'O', 'O'], 'filled': {'event'}}]			['наступающим новым']				['годом!']									
2021-12-20	Красивая пушистая елка, надеюсь прослужит долгие годы. 	star5	['елка']	['Positive']	елка	[]																
2021-12-19	Елка шикарная,не пожалеете точно,без запаха,очень пушистая,давно хотела такую красоту ,спасибо за качественный товар!!!	star5	['Елка']	['Positive']	Елка	[]																
2021-12-10	Отличная елка, пушистая, выглядит даже естественно, без запаха	star5	['елка']	['Positive']	елка	[]																
2021-12-08	Спасибо магазину. Она шикарна 🔥пышная, пушистая, то что я и хотела. 	star5	['магазину']	['Positive']	магазину	[]																
2021-12-06	Аааааа,я радуюсь как ребенок)) Ёлка реально как настоящая, цвет прям как у лесной красавицы👍 Ещё не распушали,но она и так уже пушистая	star5	['Ёлка', 'цвет']	['Positive', 'Positive']	Ёлка, цвет	[]																
2021-12-04	Елка шикарная! Я любуюсь даже не наряженой. Собирается 3 мин, только веточки расправлять долго, потому что их миллион:) очень пушистая, супер! Давно мечтала о нормальной добротной ёлке, и что бы как настоящая! Надеюсь прослужит долго.	star5	['Елка']	['Positive']	Елка	[{'text': '3 мин,', 'start': 54, 'end': 61, 'tokens': ['▁3', '▁мин', ','], 'names': ['B-time', 'I-time', 'O'], 'filled': {'time'}}, {'text': 'миллион:)', 'start': 109, 'end': 119, 'tokens': ['▁миллион', ':', ')'], 'names': ['B-cardinal number', 'O', 'O'], 'filled': {'cardinal number'}}]				['миллион:)']							['3 мин,']					
2021-12-04	Очень давно мечтала купить ёлку, сомневалась, нравились дорогие от 30 тыс. эту фирму порекомендовала коллега. Очень пушистая и симпатичная, собирается легко, высота 2.1 м. то что надо ( потолки у нас 2.7м). Осталось только украсить!	star5	['высота']	['Neutral']	высота	[{'text': '30 тыс.', 'start': 66, 'end': 74, 'tokens': ['▁30', '▁тыс', '.'], 'names': ['I-money', 'I-money', 'I-money'], 'filled': {'money'}}, {'text': '2.1 м.', 'start': 164, 'end': 171, 'tokens': ['▁2.1', '▁м', '.'], 'names': ['B-quantity', 'I-quantity', 'I-quantity'], 'filled': {'quantity'}}, {'text': '2.7м).', 'start': 199, 'end': 206, 'tokens': ['▁2.', '7', 'м', ').'], 'names': ['B-quantity', 'I-quantity', 'I-quantity', 'O'], 'filled': {'quantity'}}]					['2.1 м.', '2.7м).']			['30 тыс.']								
2021-12-02	Елочка хорошая, пушистая, спасибо	star5	['Елочка']	['Positive']	Елочка	[{'text': 'Елочка', 'start': 0, 'end': 6, 'tokens': ['▁Ел', 'очка'], 'names': ['B-person', 'O'], 'filled': {'person'}}]	['Елочка']															
2021-11-15	Елка хорошая, сделана очень качественно,. Но все же вернула - Что-то не легла душа. Немного колючая для меня, великоват размер. Хотела более компактную. Есть время повыбирать  ещё) Может быть представители бренда порекомендуют модель с более длинными и мягкими иголочками? Оставлю пять звёзд так как елочка не плохая. 	star5	['Елка', 'размер', 'елочка']	['Positive', 'Negative', 'Neutral']	Елка, размер, елочка	[{'text': 'пять', 'start': 280, 'end': 285, 'tokens': ['▁пять'], 'names': ['B-cardinal number'], 'filled': {'cardinal number'}}]				['пять']												
